employee_id,first_name,last_name,job_title,salary,reports_to,office_id
37851,Sayer,Matterson,"Statistician III",98926,37270,1
40448,Mindy,Crissil,"Staff Scientist",94860,37270,1
56274,Keriann,Alloisi,"VP Marketing",110150,37270,1
67009,North,"de Clerc","VP Product Management",114257,37270,2
67370,Elladine,Rising,"Social Worker",96767,37270,2
72540,Guthrey,Iacopetti,"Office Assistant I",117690,37270,3
76196,Mirilla,Janowski,"Cost Accountant",119241,37270,3
84791,Hazel,Tarbert,"General Manager",93760,37270,4
95213,Cole,Kesterton,Pharmacist,86119,37270,4
98374,Estrellita,Daleman,"Staff Accountant IV",70187,37270,5
115357,Ivy,Fearey,"Structural Engineer",92710,37270,5
